   Pos X,   Pos Y,OffsetX(um),OffsetY(um),Height(um),Area(um2),Volume(um3), Area(%),Volume(%),  Result,Component ID,  PCB ID,    Time, PrintNo: 1  ID(1)
122.675,51.554,48.614,31.587,110.482,110465,12204370,96.37,83.836,              GOOD,  B2_PTF_A,1,4/2/2024 15:16,
123.411,57.511,33.174,27.577,102.001,108065,11022640,94.276,75.718,        W.Insuffi.,  B2_PTF_A,1,4/2/2024 15:16,
129.279,51.554,33.34,22.994,98.142,111532,10945940,97.301,75.191,        W.Insuffi.,  B2_PTF_A,1,4/2/2024 15:16,
129.279,63.467,31.195,35.075,100.714,114748,11556730,100.107,79.387,        W.Insuffi.,  B2_PTF_A,1,4/2/2024 15:16,
130.015,57.511,46.037,27.198,111.245,116486,12958450,101.623,89.016,              GOOD,  B2_PTF_A,1,4/2/2024 15:16,
130.015,69.423,43.468,18.395,117.113,117058,13709060,102.122,94.172,              GOOD,  B2_PTF_A,1,4/2/2024 15:16,
129.279,75.38,27.325,23.133,107.402,105003,11277520,91.605,77.469,        W.Insuffi.,  B2_PTF_A,1,4/2/2024 15:16,
109.695,69.423,46.583,26.99,114.915,113585,13052600,99.092,89.663,              GOOD,  B2_PTF_B,1,4/2/2024 15:16,
108.959,75.38,33.709,20.848,99.483,103362,10282780,90.174,70.636,        W.Insuffi.,  B2_PTF_B,1,4/2/2024 15:16,
109.695,57.511,50.484,35.242,112.026,117468,13159470,102.48,90.397,              GOOD,  B2_PTF_B,1,4/2/2024 15:16,
108.959,63.467,26.369,36.557,107.394,110826,11902060,96.685,81.759,              GOOD,  B2_PTF_B,1,4/2/2024 15:16,
108.959,51.554,28.897,28.107,98.807,111565,11023400,97.33,75.723,        W.Insuffi.,  B2_PTF_B,1,4/2/2024 15:16,
103.091,57.511,25.831,36.949,102.533,116079,11902010,101.268,81.759,              GOOD,  B2_PTF_B,1,4/2/2024 15:16,
102.355,51.554,29.79,36.354,112.065,110169,12346020,96.111,84.809,              GOOD,  B2_PTF_B,1,4/2/2024 15:16,
103.091,69.423,26.113,22.501,99.109,114837,11381400,100.184,78.183,        W.Insuffi.,  B2_PTF_B,1,4/2/2024 15:16,
102.355,63.467,32.685,39.103,113.654,113840,12938310,99.314,88.877,              GOOD,  B2_PTF_B,1,4/2/2024 15:16,
102.355,75.38,31.966,25.216,119.271,106687,12724600,93.074,87.409,              GOOD,  B2_PTF_B,1,4/2/2024 15:16,
32.355,75.38,14.404,30.936,122.947,109125,13416510,95.201,92.162,              GOOD,  B3_PTF_B,1,4/2/2024 15:16,
32.355,63.467,12.025,35.943,122.284,104601,12791040,91.254,87.866,              GOOD,  B3_PTF_B,1,4/2/2024 15:16,
33.092,69.423,14.022,19.66,104.804,109104,11434450,95.182,78.547,        W.Insuffi.,  B3_PTF_B,1,4/2/2024 15:16,
32.355,51.554,14.15,30.966,119.857,106179,12726280,92.631,87.421,              GOOD,  B3_PTF_B,1,4/2/2024 15:16,
33.092,57.511,9.44,31.581,110.923,107650,11940870,93.914,82.026,              GOOD,  B3_PTF_B,1,4/2/2024 15:16,
38.959,51.554,14.146,28.213,106.935,100894,10789170,88.021,74.114,        W.Insuffi.,  B3_PTF_B,1,4/2/2024 15:16,
38.959,63.467,9.136,35.813,108.872,107686,11724060,93.946,80.536,              GOOD,  B3_PTF_B,1,4/2/2024 15:16,
39.696,57.511,23.281,31.194,117.832,108732,12812140,94.858,88.011,              GOOD,  B3_PTF_B,1,4/2/2024 15:16,
39.696,69.423,20.009,27.92,117.712,107010,12596290,93.356,86.528,              GOOD,  B3_PTF_B,1,4/2/2024 15:16,
38.959,75.38,22.342,28.677,103.183,108693,11215180,94.824,77.041,        W.Insuffi.,  B3_PTF_B,1,4/2/2024 15:16,
60.016,69.423,20.367,26.936,125.069,111406,13933440,97.191,95.713,              GOOD,  B3_PTF_A,1,4/2/2024 15:16,
59.279,75.38,13.817,26.275,106.343,105146,11181600,91.73,76.81,        W.Insuffi.,  B3_PTF_A,1,4/2/2024 15:16,
60.016,57.511,26.066,36.019,115.435,110224,12723730,96.16,87.403,              GOOD,  B3_PTF_A,1,4/2/2024 15:16,
59.279,63.467,21.688,29.51,105.51,109167,11518190,95.237,79.122,        W.Insuffi.,  B3_PTF_A,1,4/2/2024 15:16,
59.279,51.554,18.063,23.831,99.979,108883,10886070,94.99,74.78,        W.Insuffi.,  B3_PTF_A,1,4/2/2024 15:16,
53.412,57.511,17.638,36.563,106.706,111371,11883980,97.161,81.635,              GOOD,  B3_PTF_A,1,4/2/2024 15:16,
52.675,51.554,26.042,33.873,114.172,112061,12794250,97.762,87.888,              GOOD,  B3_PTF_A,1,4/2/2024 15:16,
53.412,69.423,15.019,22.518,102.002,108817,11099490,94.932,76.246,        W.Insuffi.,  B3_PTF_A,1,4/2/2024 15:16,
52.675,63.467,24.3,39.277,117.559,109725,12899080,95.724,88.608,              GOOD,  B3_PTF_A,1,4/2/2024 15:16,
