   Pos X,   Pos Y,  Result
49.99,79.342,              GOOD
42.345,79.342,              GOOD
38.078,79.342,              GOOD
178.522,79.342,        W.Insuffi.
181.9,79.342,        W.Insuffi.
190.434,79.342,        W.Insuffi.
193.813,79.342,        W.Insuffi.
196.391,94.074,              GOOD
187.856,94.074,        W.Insuffi.
184.478,94.074,        W.Insuffi.
175.944,94.074,              GOOD
175.944,47.719,        W.Insuffi.
184.478,47.719,        W.Insuffi.
187.856,47.719,        W.Insuffi.
196.391,47.719,        W.Insuffi.
193.813,32.987,        W.Insuffi.
190.434,32.987,        W.Insuffi.
181.9,32.987,        W.Insuffi.
178.522,32.987,        W.Insuffi.
108.522,79.342,              GOOD
111.9,79.342,              GOOD
120.435,79.342,              GOOD
123.813,79.342,              GOOD
126.391,94.074,              GOOD
117.856,94.074,              GOOD
114.478,94.074,              GOOD
105.944,94.074,              GOOD
105.944,47.719,              GOOD
114.478,47.719,              GOOD
117.856,47.719,              GOOD
126.391,47.719,              GOOD
123.813,32.987,              GOOD
120.435,32.987,              GOOD
111.9,32.987,              GOOD
108.522,32.987,              GOOD
38.522,32.987,        W.Insuffi.
41.9,32.987,              GOOD
50.435,32.987,              GOOD
53.813,32.987,              GOOD
56.391,47.719,              GOOD
47.857,47.719,              GOOD
44.478,47.719,              GOOD
35.944,47.719,              GOOD
35.944,94.074,              GOOD
44.478,94.074,              GOOD
47.857,94.074,              GOOD
56.391,94.074,              GOOD
53.813,79.342,        W.Insuffi.
50.435,79.342,              GOOD
41.9,79.342,              GOOD
38.522,79.342,        W.Insuffi.
175.474,79.342,        W.Insuffi.
184.948,79.342,        W.Insuffi.
187.386,79.342,        W.Insuffi.
196.861,79.342,        W.Insuffi.
193.343,94.074,              GOOD
190.904,94.074,              GOOD
181.43,94.074,              GOOD
178.992,94.074,              GOOD
178.992,47.719,        W.Insuffi.
181.43,47.719,        W.Insuffi.
190.904,47.719,        W.Insuffi.
193.343,47.719,        W.Insuffi.
196.861,32.987,        W.Insuffi.
187.386,32.987,        W.Insuffi.
184.948,32.987,        W.Insuffi.
175.474,32.987,        W.Insuffi.
105.474,79.342,              GOOD
114.948,79.342,              GOOD
117.387,79.342,              GOOD
126.861,79.342,              GOOD
123.343,94.074,              GOOD
120.904,94.074,              GOOD
111.43,94.074,              GOOD
108.992,94.074,              GOOD
108.992,47.719,              GOOD
111.43,47.719,              GOOD
120.904,47.719,              GOOD
123.343,47.719,              GOOD
126.861,32.987,              GOOD
117.387,32.987,              GOOD
114.948,32.987,              GOOD
105.474,32.987,              GOOD
35.474,32.987,              GOOD
44.948,32.987,              GOOD
47.387,32.987,              GOOD
56.861,32.987,              GOOD
53.343,47.719,              GOOD
50.905,47.719,              GOOD
41.43,47.719,              GOOD
38.992,47.719,              GOOD
38.992,94.074,              GOOD
41.43,94.074,              GOOD
50.905,94.074,              GOOD
53.343,94.074,              GOOD
56.861,79.342,              GOOD
47.387,79.342,              GOOD
44.948,79.342,              GOOD
35.474,79.342,              GOOD
174.877,79.342,        W.Insuffi.
185.545,79.342,        W.Insuffi.
186.79,79.342,        W.Insuffi.
197.458,79.342,        W.Insuffi.
192.746,94.074,              GOOD
191.501,94.074,              GOOD
180.833,94.074,              GOOD
179.589,94.074,              GOOD
179.589,47.719,        W.Insuffi.
180.833,47.719,        W.Insuffi.
191.501,47.719,        W.Insuffi.
192.746,47.719,        W.Insuffi.
197.458,32.987,              GOOD
186.79,32.987,        W.Insuffi.
185.545,32.987,        W.Insuffi.
174.877,32.987,        W.Insuffi.
104.877,79.342,              GOOD
115.545,79.342,              GOOD
116.79,79.342,              GOOD
127.458,79.342,              GOOD
122.746,94.074,              GOOD
121.501,94.074,              GOOD
110.833,94.074,              GOOD
109.589,94.074,              GOOD
109.589,47.719,              GOOD
110.833,47.719,              GOOD
121.501,47.719,              GOOD
122.746,47.719,              GOOD
127.458,32.987,              GOOD
116.79,32.987,              GOOD
115.545,32.987,              GOOD
104.877,32.987,              GOOD
34.877,32.987,              GOOD
45.545,32.987,              GOOD
46.79,32.987,              GOOD
57.458,32.987,              GOOD
52.746,47.719,              GOOD
51.502,47.719,              GOOD
40.834,47.719,              GOOD
39.589,47.719,              GOOD
39.589,94.074,              GOOD
40.834,94.074,              GOOD
51.502,94.074,              GOOD
52.746,94.074,              GOOD
57.458,79.342,              GOOD
46.79,79.342,              GOOD
45.545,79.342,              GOOD
34.877,79.342,              GOOD
174.255,79.342,        W.Insuffi.
186.167,79.342,        W.Insuffi.
198.08,79.342,        W.Insuffi.
192.124,94.074,              GOOD
180.211,94.074,              GOOD
180.211,47.719,        W.Insuffi.
192.124,47.719,              GOOD
198.08,32.987,              GOOD
186.167,32.987,        W.Insuffi.
174.255,32.987,        W.Insuffi.
104.255,79.342,              GOOD
116.167,79.342,              GOOD
128.08,79.342,              GOOD
122.124,94.074,              GOOD
110.211,94.074,              GOOD
110.211,47.719,              GOOD
122.124,47.719,              GOOD
128.08,32.987,              GOOD
116.167,32.987,              GOOD
104.255,32.987,              GOOD
34.255,32.987,              GOOD
46.168,32.987,              GOOD
58.08,32.987,              GOOD
52.124,47.719,              GOOD
40.211,47.719,              GOOD
40.211,94.074,              GOOD
52.124,94.074,              GOOD
58.08,79.342,              GOOD
46.168,79.342,              GOOD
34.255,79.342,              GOOD
178.522,83.139,        E.Insuffi.
175.944,83.673,        E.Insuffi.
184.478,83.673,        E.Insuffi.
181.9,83.139,        E.Insuffi.
190.434,83.139,        E.Insuffi.
193.813,83.139,        E.Insuffi.
187.856,83.673,        E.Insuffi.
196.391,83.673,        E.Insuffi.
193.813,89.743,        E.Insuffi.
196.391,90.277,        E.Insuffi.
187.856,90.277,        E.Insuffi.
190.434,89.743,        E.Insuffi.
181.9,89.743,        E.Insuffi.
184.478,90.277,        E.Insuffi.
178.522,89.743,        E.Insuffi.
175.944,90.277,        E.Insuffi.
175.944,43.922,        E.Insuffi.
178.522,43.388,        E.Insuffi.
184.478,43.922,        E.Insuffi.
181.9,43.388,        E.Insuffi.
190.434,43.388,        E.Insuffi.
187.856,43.922,        E.Insuffi.
196.391,43.922,        W.Insuffi.
193.813,43.388,        E.Insuffi.
196.391,37.318,        E.Insuffi.
187.856,37.318,        E.Insuffi.
193.813,36.784,        E.Insuffi.
190.434,36.784,        E.Insuffi.
181.9,36.784,        E.Insuffi.
184.478,37.318,        E.Insuffi.
175.944,37.318,        E.Insuffi.
178.522,36.784,        E.Insuffi.
192.776,71.112,        E.Insuffi.
193.31,73.69,        E.Insuffi.
193.31,65.156,        E.Insuffi.
192.776,67.734,        E.Insuffi.
192.776,59.2,        E.Insuffi.
192.776,55.822,        E.Insuffi.
193.31,61.778,        E.Insuffi.
193.31,53.243,        E.Insuffi.
199.38,55.822,        E.Insuffi.
199.914,53.243,        E.Insuffi.
199.914,61.778,        E.Insuffi.
199.38,59.2,        E.Insuffi.
199.38,67.734,        E.Insuffi.
199.914,65.156,        E.Insuffi.
199.38,71.112,        E.Insuffi.
199.914,73.69,        E.Insuffi.
179.594,73.69,        E.Insuffi.
179.06,71.112,        E.Insuffi.
179.594,65.156,        E.Insuffi.
179.06,67.734,        E.Insuffi.
179.06,59.2,        E.Insuffi.
179.594,61.778,        E.Insuffi.
179.594,53.243,        E.Insuffi.
179.06,55.822,        E.Insuffi.
172.99,53.243,        E.Insuffi.
172.99,61.778,        E.Insuffi.
172.456,55.822,        E.Insuffi.
172.456,59.2,        E.Insuffi.
172.456,67.734,        E.Insuffi.
172.99,65.156,        E.Insuffi.
172.99,73.69,        E.Insuffi.
172.456,71.112,        E.Insuffi.
108.522,83.139,        E.Insuffi.
105.944,83.673,        E.Insuffi.
114.478,83.673,        E.Insuffi.
111.9,83.139,        E.Insuffi.
120.435,83.139,        E.Insuffi.
123.813,83.139,        E.Insuffi.
117.856,83.673,        E.Insuffi.
126.391,83.673,        E.Insuffi.
123.813,89.743,        E.Insuffi.
126.391,90.277,        E.Insuffi.
117.856,90.277,        E.Insuffi.
120.435,89.743,        E.Insuffi.
111.9,89.743,        E.Insuffi.
114.478,90.277,        E.Insuffi.
108.522,89.743,        E.Insuffi.
105.944,90.277,        E.Insuffi.
105.944,43.922,        E.Insuffi.
108.522,43.388,        E.Insuffi.
114.478,43.922,        E.Insuffi.
111.9,43.388,        E.Insuffi.
120.435,43.388,        E.Insuffi.
117.856,43.922,        E.Insuffi.
126.391,43.922,        E.Insuffi.
123.813,43.388,        E.Insuffi.
126.391,37.318,        E.Insuffi.
117.856,37.318,        E.Insuffi.
123.813,36.784,        E.Insuffi.
120.435,36.784,        W.Insuffi.
111.9,36.784,        E.Insuffi.
114.478,37.318,        E.Insuffi.
105.944,37.318,        E.Insuffi.
108.522,36.784,        E.Insuffi.
122.776,71.112,        E.Insuffi.
123.31,73.69,        E.Insuffi.
123.31,65.156,        E.Insuffi.
122.776,67.734,        E.Insuffi.
122.776,59.2,        E.Insuffi.
122.776,55.822,        E.Insuffi.
123.31,61.778,        E.Insuffi.
123.31,53.243,        E.Insuffi.
129.38,55.822,        E.Insuffi.
129.914,53.243,        E.Insuffi.
129.914,61.778,        W.Insuffi.
129.38,59.2,        E.Insuffi.
129.38,67.734,        E.Insuffi.
129.914,65.156,        E.Insuffi.
129.38,71.112,        E.Insuffi.
129.914,73.69,        E.Insuffi.
109.594,73.69,        E.Insuffi.
109.06,71.112,        E.Insuffi.
109.594,65.156,        E.Insuffi.
109.06,67.734,        E.Insuffi.
109.06,59.2,        E.Insuffi.
109.594,61.778,        E.Insuffi.
109.594,53.243,        W.Insuffi.
109.06,55.822,        E.Insuffi.
102.99,53.243,        E.Insuffi.
102.99,61.778,        E.Insuffi.
102.456,55.822,        W.Insuffi.
102.456,59.2,        E.Insuffi.
102.456,67.734,        E.Insuffi.
102.99,65.156,        E.Insuffi.
102.99,73.69,        E.Insuffi.
102.456,71.112,        E.Insuffi.
32.457,71.112,        E.Insuffi.
32.99,73.69,        E.Insuffi.
32.99,65.156,        E.Insuffi.
32.457,67.734,        E.Insuffi.
32.457,59.2,        E.Insuffi.
32.457,55.822,        E.Insuffi.
32.99,61.778,        E.Insuffi.
32.99,53.243,        E.Insuffi.
39.061,55.822,        E.Insuffi.
39.594,53.243,        E.Insuffi.
39.594,61.778,        E.Insuffi.
39.061,59.2,        E.Insuffi.
39.061,67.734,        E.Insuffi.
39.594,65.156,        E.Insuffi.
39.061,71.112,        E.Insuffi.
39.594,73.69,        E.Insuffi.
59.914,73.69,        E.Insuffi.
59.38,71.112,        E.Insuffi.
59.914,65.156,        E.Insuffi.
59.38,67.734,        E.Insuffi.
59.38,59.2,        E.Insuffi.
59.914,61.778,        E.Insuffi.
59.914,53.243,        E.Insuffi.
59.38,55.822,        E.Insuffi.
53.31,53.243,        E.Insuffi.
53.31,61.778,        E.Insuffi.
52.777,55.822,        E.Insuffi.
52.777,59.2,        E.Insuffi.
52.777,67.734,        E.Insuffi.
53.31,65.156,        E.Insuffi.
53.31,73.69,        E.Insuffi.
52.777,71.112,        E.Insuffi.
38.522,36.784,        E.Insuffi.
35.944,37.318,        E.Insuffi.
44.478,37.318,        E.Insuffi.
41.9,36.784,        E.Insuffi.
50.435,36.784,        E.Insuffi.
53.813,36.784,        E.Insuffi.
47.857,37.318,        E.Insuffi.
56.391,37.318,        E.Insuffi.
53.813,43.388,        E.Insuffi.
56.391,43.922,        E.Insuffi.
47.857,43.922,        E.Insuffi.
50.435,43.388,        E.Insuffi.
41.9,43.388,        E.Insuffi.
44.478,43.922,        E.Insuffi.
38.522,43.388,        E.Insuffi.
35.944,43.922,        E.Insuffi.
35.944,90.277,        E.Insuffi.
38.522,89.743,        E.Insuffi.
44.478,90.277,        E.Insuffi.
41.9,89.743,        E.Insuffi.
50.435,89.743,        E.Insuffi.
47.857,90.277,        E.Insuffi.
56.391,90.277,        E.Insuffi.
53.813,89.743,        E.Insuffi.
56.391,83.673,        E.Insuffi.
47.857,83.673,        E.Insuffi.
53.813,83.139,        E.Insuffi.
50.435,83.139,        E.Insuffi.
41.9,83.139,        E.Insuffi.
44.478,83.673,        E.Insuffi.
35.944,83.673,        E.Insuffi.
38.522,83.139,        E.Insuffi.
178.077,83.127,        E.Insuffi.
176.388,83.685,        W.Insuffi.
184.034,83.685,        E.Insuffi.
182.345,83.127,              GOOD
189.99,83.127,              GOOD
194.257,83.127,        W.Insuffi.
188.301,83.685,        E.Insuffi.
195.946,83.685,        W.Insuffi.
194.257,89.731,        W.Insuffi.
195.946,90.289,        E.Insuffi.
188.301,90.289,        W.Insuffi.
189.99,89.731,        W.Insuffi.
182.345,89.731,        W.Insuffi.
184.034,90.289,        W.Insuffi.
178.077,89.731,        E.Insuffi.
176.388,90.289,        E.Insuffi.
176.388,43.934,        W.Insuffi.
178.077,43.376,        E.Insuffi.
184.034,43.934,        W.Insuffi.
182.345,43.376,        W.Insuffi.
189.99,43.376,        E.Insuffi.
188.301,43.934,              GOOD
195.946,43.934,        W.Insuffi.
194.257,43.376,        W.Insuffi.
195.946,37.33,        W.Insuffi.
188.301,37.33,        E.Insuffi.
194.257,36.772,        W.Insuffi.
189.99,36.772,              GOOD
182.345,36.772,        W.Insuffi.
184.034,37.33,        W.Insuffi.
176.388,37.33,        W.Insuffi.
178.077,36.772,        W.Insuffi.
192.764,71.557,        W.Insuffi.
193.322,73.246,        E.Insuffi.
193.322,65.601,        E.Insuffi.
